Python,Math,Creativity,Communication,Logic,Carrer
5,5,3,3,5,Data Scientist
4,3,5,4,3,UI Designer
5,4,3,3,5,AI Engineer
3,3,4,5,3,Digital Marketing
4,4,3,3,4,Software Developer
5,5,3,3,5,Data Scientist
4,4,3,3,4,Software Developer
4,3,5,4,3,UI Designer
5,4,3,3,5,AI Engineer
3,3,4,5,3,Digital Marketing
2,2,5,5,2,Graphic Designer
4,5,2,3,5,Data Analyst
3,4,3,3,4,Web Developer
5,5,2,2,5,AI Engineer
4,4,3,2,4,Software Developer
3,3,5,5,2,UI Designer
2,3,4,5,2,Digital Marketing
4,5,3,3,5,Data Scientist
5,4,2,2,5,AI Engineer
3,3,4,4,3,Web Developer
2,2,5,4,2,Graphic Designer
4,4,3,3,4,Software Developer
5,5,3,2,5,Data Scientist
3,3,5,5,2,UI Designer
4,3,3,3,4,Web Developer
3,2,5,5,2,Graphic Designer
4,4,3,3,4,Software Developer
5,4,3,3,5,AI Engineer
4,5,2,3,5,Data Analyst
3,3,4,5,3,Digital Marketing
4,4,3,3,4,Software Developer
5,5,3,3,5,Data Scientist
3,3,5,4,2,UI Designer
4,4,3,3,4,Web Developer
2,2,5,5,2,Graphic Designer
5,5,2,2,5,AI Engineer
4,4,3,3,4,Software Developer
3,3,4,4,3,Web Developer
4,5,3,3,5,Data Scientist
3,3,5,5,2,Digital Marketing
2,2,5,4,2,Graphic Designer
4,4,3,3,4,Software Developer
5,4,3,3,5,AI Engineer
4,5,2,3,5,Data Analyst
3,3,4,5,3,Digital Marketing
